"","ord","zenv.cp","X5.","X95.","Genus","Guild","Titan","Habitat"
"42",39,12,10,13,"Epicoccum","Plant pathogen","z+","Rhizosphere"
"301",1,13,7,14,"Acrophialophora","Plant pathogen","z-","Soil"
"262",2,13,4,13,"Chaetomium","Saprotroph","z-","Soil"
"351",3,13,2,14,"Gibellulopsis","Plant pathogen","z-","Soil"
"292",4,13,10,16,"Pseudogymnoascus","Others","z-","Soil"
"114",5,12,6,15,"Chaetomium","Saprotroph","z-","Soil"
"243",6,12,9,13,"Claroideoglomus","Arbuscular mycorrhiza","z-","Soil"
"103",7,11.5,9,16,"Chaetomium","Saprotroph","z-","Soil"
"282",8,11,3,15.025,"Fusarium","Plant pathogen","z-","Soil"
"83",9,10.5,9,15,"Stachybotrys","Saprotroph","z-","Soil"
"173",10,10.5,6.975,13,"Rhizophagus","Arbuscular mycorrhiza","z-","Soil"
"341",11,10,6.5,16.5,"Mortierella","Saprotroph","z-","Soil"
"43",12,9.5,2,11,"Mortierella","Saprotroph","z-","Soil"
"203",13,9,6,12.5,"Fusarium","Plant pathogen","z-","Soil"
"223",14,9,7,15,"Corynascus","Saprotroph","z-","Soil"
"331",15,9,2.5,13,"Chaetomium","Saprotroph","z-","Soil"
"252",16,9,9,13,"Gymnoascus","Saprotroph","z-","Soil"
"233",17,8,6,10,"Alternaria","Plant pathogen","z-","Soil"
"193",18,8,5,16,"Chaetomium","Saprotroph","z-","Soil"
"73",19,8,2,13.525,"Ascobolus","Saprotroph","z-","Soil"
"123",20,8,4.5,13,"Pseudaleuria","Saprotroph","z-","Soil"
"133",21,8,4,15.025,"Zopfiella","Saprotroph","z-","Soil"
"214",22,8,4,12,"_","Saprotroph","z-","Soil"
"272",23,7,3.5,11.025,"Schizothecium","Saprotroph","z-","Soil"
"321",24,7,6,15,"Schizothecium","Saprotroph","z-","Soil"
"153",25,7,2,15,"Actinomucor","Saprotroph","z-","Soil"
"312",26,7,5.5,12,"Spizellomyces","Plant pathogen","z-","Soil"
"163",27,5,4,13,"Curvularia","Plant pathogen","z-","Soil"
"53",28,4,3,16.5,"Podospora","Endophyte","z-","Soil"
"93",29,3.5,2,13,"Phoma","Plant pathogen","z-","Soil"
"63",30,4,3,6,"Setophoma","Plant pathogen","z+","Soil"
"115",31,10,8,10.5,"Cladosporium","Saprotroph","z+","Soil"
"215",32,10,7.5,14,"Podospora","Endophyte","z+","Soil"
"313",33,11,10,12,"Epicoccum","Plant pathogen","z+","Soil"
"183",34,12,7,16,"Oliveonia","Saprotroph","z+","Soil"
"143",35,13,9,12.5,"Alternaria","Plant pathogen","z+","Soil"
